Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10
bach,"1685/3//-1750/7/28/
","Prelude in C Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p02.krn,0.77,0.936620178765071,0.9465060182805584
bach,,"Fuga 1, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f01.krn,0.2,0.9912483719181255,0.6940361111897018
bach,"1685/3//-1750/7/28/
","Prelude in A Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p19.krn,0.38,0.9557933845264988,0.9563880080221686
bach,,"Fuga 1, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f01.krn,0.12,0.992766959080694,0.8248899818751337
bach,,"Fuga 11, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f11.krn,0.05,0.9407635417684441,0.7280232732524841
bach,"1685/3//-1750/7/28/
","Prelude in C-sharp Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p03.krn,1.46,0.7961708083093082,0.8106024868728442
bach,"1685/3//-1750/7/28/
","Prelude in E Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p10.krn,0.24,0.923796757300948,0.9327582651890822
bach,"1685/3//-1750/7/28/
","Prelude in D-sharp Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p08.krn,0.11,0.9846157347818166,0.9678425737445577
bach,"1685/3//-1750/7/28/
","Prelude in B Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p24.krn,0.42,0.9340045317530948,0.947119370085847
bach,,"Prelude No. 17 in F-sharp minor
",,,,Prelude,wtc2p17.krn,0.16,0.9983023863383099,0.9673241089177809
bach,"1685/3//-1750/7/28/
","Prelude in G Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p16.krn,NaN,NaN,NaN
bach,,"Fuga 23, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f23.krn,0.33,0.9580897534266168,0.770352014685201
bach,,"Fuga 24, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f24.krn,0.3,0.9309653643800988,0.9347010322379249
bach,,"Fuga 9, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f09.krn,-0.74,0.9825965076055919,0.9877761331816645
bach,,"Fuga 4, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f04.krn,0.25,0.9581760839152038,0.9071741932144716
bach,"1685/3//-1750/7/28/
","Prelude in A Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p20.krn,0.03,0.9720773879090089,0.8135116176630717
bach,"1685/3//-1750/7/28/
","Prelude in E-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p08.krn,0.29,0.9675916905901187,0.9642532415432002
