b,PPn,RRn,TTn,PR,RT,PT,TPn
642,828,828,828,126,348,474,1302
643,824,824,824,126,348,474,1298
644,826,828,826,128,346,474,1300
645,830,826,828,124,348,472,1302
646,828,832,830,128,346,474,1302
647,830,828,828,126,346,472,1302
648,824,824,826,126,348,474,1298
649,830,830,828,126,346,472,1302
650,828,832,830,130,344,474,1302
651,830,828,830,128,346,474,1304
652,832,828,830,124,348,472,1304
653,828,830,830,126,348,474,1302
654,832,834,832,128,346,474,1306
655,828,824,826,124,348,472,1300
656,826,828,828,126,348,474,1300
657,822,822,822,126,348,474,1296
658,820,820,820,126,348,474,1294
659,824,824,822,126,346,472,1296
660,822,822,824,126,348,474,1296
661,826,828,824,128,344,472,1298
662,824,822,826,126,348,474,1298
663,824,824,822,126,346,472,1296
664,828,830,830,128,346,474,1302
665,832,830,830,126,346,472,1304
666,834,836,838,128,348,476,1310
667,832,830,830,126,348,474,1306
668,838,838,836,126,346,472,1310
669,832,834,834,128,346,474,1306
670,836,834,836,126,348,474,1310
671,832,832,830,126,346,472,1304
672,832,832,834,126,348,474,1306
673,830,832,828,128,344,472,1302
674,834,832,834,126,346,472,1306
675,830,832,832,128,346,474,1304
676,828,828,828,128,346,474,1302
677,836,834,836,126,348,474,1310
678,828,828,826,126,346,472,1300
679,826,824,826,124,348,472,1298
680,824,826,822,126,344,470,1294
681,822,822,824,126,346,472,1294
682,822,822,824,126,348,474,1296
683,826,826,824,126,346,472,1298
684,824,822,824,124,348,472,1296
685,822,826,824,128,346,474,1296
686,826,826,824,128,344,472,1298
687,826,822,826,124,348,472,1298
688,826,826,826,124,348,472,1298
689,826,828,826,126,346,472,1298
690,828,828,828,126,346,472,1300
691,834,834,834,126,346,472,1306
692,828,828,828,126,346,472,1300
693,828,828,828,126,346,472,1300
694,832,832,834,126,348,474,1306
695,834,834,834,126,348,474,1308
696,834,834,834,126,348,474,1308
697,832,830,830,124,348,472,1304
698,826,830,828,128,346,474,1300
699,830,830,830,128,346,474,1304
700,838,834,836,124,348,472,1310
701,834,836,838,126,350,476,1310
702,830,830,828,126,348,474,1304
703,834,834,832,126,346,472,1306
704,832,832,832,126,346,472,1304
705,836,836,836,126,346,472,1308
706,832,830,832,124,348,472,1304
707,824,826,824,126,346,472,1296
708,828,828,828,126,346,472,1300
709,826,828,828,128,346,474,1300
710,828,826,826,126,346,472,1300
711,822,820,822,124,348,472,1294
712,824,826,822,126,344,470,1294
713,828,828,830,126,346,472,1300
714,832,830,832,124,348,472,1304
715,830,834,832,128,346,474,1304
716,830,828,830,126,348,474,1304
717,834,834,830,126,344,470,1304
718,828,826,830,124,348,472,1300
719,826,830,826,128,344,472,1298
720,828,826,828,126,346,472,1300
721,828,826,826,124,346,470,1298
722,818,820,820,126,346,472,1290
723,818,818,818,126,346,472,1290
724,816,816,816,126,346,472,1288
725,812,810,810,124,346,470,1282
726,800,802,800,126,344,470,1270
727,802,802,802,126,344,470,1272
728,804,806,804,128,342,470,1274
729,804,804,806,128,344,472,1276
730,808,806,806,126,344,470,1278
731,796,798,794,128,340,468,1264
732,804,802,808,126,346,472,1276
733,802,802,800,126,344,470,1272
734,804,804,806,126,346,472,1276
735,814,812,812,124,346,470,1284
736,808,810,808,126,344,470,1278
737,816,818,818,128,344,472,1288
738,818,816,818,126,346,472,1290
739,824,822,822,124,346,470,1294
740,816,816,818,124,348,472,1288
741,822,824,820,126,344,470,1292
742,826,826,826,126,344,470,1296
743,826,824,828,124,348,472,1298
744,822,822,820,124,346,470,1292
745,822,824,822,126,344,470,1292
746,822,820,822,124,346,470,1292
747,824,828,826,128,344,472,1296
748,824,822,824,126,346,472,1296
749,820,820,820,126,346,472,1292
750,824,826,824,128,344,472,1296
751,826,824,824,126,344,470,1296
752,828,828,830,126,346,472,1300
753,824,824,824,126,346,472,1296
754,832,830,832,124,348,472,1304
755,832,832,830,124,346,470,1302
756,834,836,836,126,346,472,1306
757,838,838,838,126,346,472,1310
758,834,834,836,126,348,474,1308
759,840,842,838,128,344,472,1312
760,840,838,840,126,346,472,1312
761,842,842,840,126,344,470,1312
762,840,840,842,126,346,472,1312
763,842,842,844,126,348,474,1316
764,848,850,848,128,346,474,1322
765,850,848,848,126,346,472,1322
766,850,850,852,126,348,474,1324
767,846,846,846,126,348,474,1320
768,850,850,848,126,346,472,1322
769,846,846,848,126,348,474,1320
770,844,842,844,124,350,474,1318
771,844,846,844,126,348,474,1318
772,838,838,838,126,348,474,1312
773,844,844,842,126,346,472,1316
774,840,840,842,126,348,474,1314
775,840,842,840,128,346,474,1314
776,838,834,836,124,348,472,1310
777,838,842,838,128,344,472,1310
778,840,838,842,126,348,474,1314
779,842,842,840,126,346,472,1314
780,840,840,842,126,348,474,1314
781,834,834,834,126,348,474,1308
782,838,838,834,126,344,470,1308
783,826,826,828,126,346,472,1298
784,820,818,820,124,348,472,1292
785,812,814,812,126,346,472,1284
786,810,810,808,126,344,470,1280
787,808,808,808,126,344,470,1278
788,806,808,808,128,344,472,1278
789,804,804,804,128,344,472,1276
790,810,808,806,126,342,468,1278
791,806,806,806,126,342,468,1274
792,810,812,814,128,344,472,1282
793,812,808,810,124,346,470,1282
794,812,814,814,126,346,472,1284
795,816,818,816,128,344,472,1288
796,818,816,818,126,346,472,1290
797,820,818,818,124,346,470,1290
798,818,820,818,126,344,470,1288
799,824,822,824,124,346,470,1294
800,826,826,826,124,346,470,1296
801,824,826,824,126,344,470,1294
802,822,822,824,126,346,472,1294
803,828,826,826,124,346,470,1298
804,818,820,820,126,346,472,1290
805,826,826,826,126,346,472,1298
