b,PPn,RRn,TTn,PR,RT,PT,TPn
6935,782,782,782,128,336,464,1246
6936,782,782,780,128,334,462,1244
6937,768,770,770,130,334,464,1232
6938,808,804,810,126,340,466,1274
6939,786,788,786,128,338,466,1252
6940,800,800,800,128,338,466,1266
6941,786,788,786,130,336,466,1252
6942,794,792,790,128,334,462,1256
6943,772,774,774,130,334,464,1236
6944,786,786,788,130,336,466,1252
6945,772,772,770,130,334,464,1236
6946,782,782,782,130,334,464,1246
6947,780,780,780,130,334,464,1244
6948,832,830,836,128,340,468,1300
6949,822,822,820,128,338,466,1288
6950,822,824,826,130,340,470,1292
6951,808,806,804,128,338,466,1274
6952,798,800,798,130,336,466,1264
6953,796,794,796,128,338,466,1262
6954,798,800,800,130,338,468,1266
6955,784,784,784,130,338,468,1252
6956,788,786,784,128,336,464,1252
6957,784,786,786,130,336,466,1250
6958,772,770,770,128,336,464,1236
6959,792,792,794,128,338,466,1258
6960,782,782,782,128,338,466,1248
6961,794,794,794,128,338,466,1260
6962,782,784,782,130,336,466,1248
6963,780,778,778,128,336,464,1244
6964,786,788,790,130,338,468,1254
6965,782,782,780,130,336,466,1248
6966,782,780,782,128,338,466,1248
6967,792,794,792,130,336,466,1258
6968,788,786,786,128,336,464,1252
6969,772,774,774,130,336,466,1238
6970,768,766,768,128,338,466,1234
6971,746,748,744,130,334,464,1210
6972,738,738,736,130,332,462,1200
6973,728,720,724,122,336,458,1186
6974,710,716,714,128,334,462,1172
6975,718,718,714,128,330,458,1176
6976,726,732,736,134,334,468,1194
6977,692,740,738,133,332,467,1206
6978,802,752,754,132,334,466,1268
6979,742,738,738,128,334,462,1204
6980,676,744,746,129,336,464,1208
6981,816,750,750,130,336,466,1282
6982,754,740,738,128,334,450,1204
6983,712,722,720,126,332,458,1170
6984,712,716,718,130,334,464,1176
6985,710,710,708,130,332,462,1172
6986,706,706,706,130,332,462,1168
6987,706,708,704,132,328,460,1166
6988,710,710,710,132,328,460,1170
6989,722,718,722,128,332,460,1182
6990,726,726,728,128,334,462,1188
6991,738,740,740,130,334,464,1202
6992,750,750,752,130,336,466,1216
6993,774,776,774,132,334,466,1240
6994,782,778,778,128,334,462,1244
6995,782,784,786,130,336,466,1248
6996,790,788,792,128,340,468,1258
6997,792,794,792,130,338,468,1260
6998,800,796,798,126,340,466,1266
6999,784,784,784,126,340,466,1250
7000,784,786,782,128,336,464,1248
7001,780,780,780,128,336,464,1244
7002,786,788,790,130,338,468,1254
7003,788,788,788,130,338,468,1256
7004,796,796,798,130,340,470,1266
7005,798,798,796,130,338,468,1266
7006,784,784,782,130,336,466,1250
7007,788,788,788,130,336,466,1254
7008,792,792,794,130,338,468,1260
7009,788,788,788,130,338,468,1256
7010,808,810,810,132,338,470,1278
7011,800,800,798,132,336,468,1268
7012,790,786,786,128,336,464,1254
7013,782,782,784,128,338,466,1248
7014,798,800,800,130,338,468,1266
7015,796,794,796,128,340,468,1264
7016,798,800,800,130,340,470,1268
7017,808,806,806,128,340,468,1276
7018,790,792,790,130,338,468,1258
7019,808,808,808,130,338,468,1276
7020,792,790,792,128,340,468,1260
7021,806,808,806,130,338,468,1274
7022,782,780,780,128,338,466,1248
7023,778,778,776,128,336,464,1242
7024,776,778,778,130,336,466,1242
7025,770,770,770,130,336,466,1236
7026,768,766,768,128,338,466,1234
7027,778,778,778,128,338,466,1244
7028,782,784,784,130,338,468,1250
7029,774,774,772,130,336,466,1240
7030,782,782,784,130,338,468,1250
7031,786,784,784,128,338,466,1252
7032,784,784,786,128,340,468,1252
7033,780,778,774,126,336,462,1242
7034,766,768,766,128,334,462,1228
7035,764,764,766,128,336,464,1228
7036,752,754,754,130,336,466,1218
7037,764,764,764,130,336,466,1230
7038,768,766,768,128,338,466,1234
7039,766,766,762,128,334,462,1228
7040,758,758,758,128,334,462,1220
7041,770,770,772,128,336,464,1234
7042,762,764,764,130,336,466,1228
