measure,obs,mu_null,sigma_null,Z,absZ,experiment,transform,rep,N
S_theta,0.7004094780992203,0.699653403184169,0.007261958691992367,0.10411446100415896,0.10411446100415896,static_transform_control,static_tanh,1,4000
gamma_R,0.27235973192541696,0.27071522231139816,0.001217160824181445,1.351102977804719,1.351102977804719,static_transform_control,static_tanh,1,4000
PE,0.9475217968850922,0.9465315328607641,0.0023591922142642777,0.4197470720447129,0.4197470720447129,static_transform_control,linear_AR1_original,2,4000
S_theta,0.7256732956646471,0.716363187817355,0.007595093245839868,1.2258056018458563,1.2258056018458563,static_transform_control,linear_AR1_original,2,4000
gamma_R,0.26202374025526487,0.2687546759576215,0.004238434971645783,-1.58807100908357,1.58807100908357,static_transform_control,linear_AR1_original,2,4000
PE,0.9797789349291116,0.9660745778162032,0.0033163761723488073,4.132328903811404,4.132328903811404,static_transform_control,static_square,2,4000
S_theta,0.702650498407229,0.6760745187271859,0.008782616796898273,3.0259750931440905,3.0259750931440905,static_transform_control,static_square,2,4000
gamma_R,0.10291409809047536,0.15306641198004198,0.0075356014831746134,-6.655382984562813,6.655382984562813,static_transform_control,static_square,2,4000
PE,0.9475217968850922,0.943444441538259,0.0035244221558783455,1.156886197651607,1.156886197651607,static_transform_control,static_exp,2,4000
S_theta,0.6661989580947401,0.649225909742065,0.008954812662238703,1.8954107688090753,1.8954107688090753,static_transform_control,static_exp,2,4000
gamma_R,0.26202374025526487,0.2813712105335074,0.007361205689428044,-2.6283018155611124,2.6283018155611124,static_transform_control,static_exp,2,4000
PE,0.9475217968850922,0.9508876356706588,0.0025911622720261453,-1.2989687376602324,1.2989687376602324,static_transform_control,static_tanh,2,4000
S_theta,0.7053764392456637,0.7121648234118464,0.007773962382962613,-0.8732206089728524,0.8732206089728524,static_transform_control,static_tanh,2,4000
gamma_R,0.26202374025526487,0.2633798031582665,0.0012965057427993944,-1.0459366728863229,1.0459366728863229,static_transform_control,static_tanh,2,4000
PE,0.940707370171511,0.9456202494563598,0.0026139815327485324,-1.8794621244638579,1.8794621244638579,static_transform_control,linear_AR1_original,3,4000
S_theta,0.7219429815854249,0.7173141300446472,0.007936376767453644,0.5832449336024774,0.5832449336024774,static_transform_control,linear_AR1_original,3,4000
gamma_R,0.243154864209137,0.24524576631552997,0.0046463552471403815,-0.45000909211145873,0.45000909211145873,static_transform_control,linear_AR1_original,3,4000
PE,0.9787442410947229,0.9712861136904691,0.002730502479335439,2.731412060855908,2.731412060855908,static_transform_control,static_square,3,4000
S_theta,0.7140575662452566,0.6962797487221889,0.00882002409376198,2.0156200634010975,2.0156200634010975,static_transform_control,static_square,3,4000
gamma_R,0.09608688608964278,0.11934706314709116,0.007618250151994068,-3.0532178116204363,3.0532178116204363,static_transform_control,static_square,3,4000
PE,0.940707370171511,0.9467782398207838,0.003646989957184666,-1.6646247235512848,1.6646247235512848,static_transform_control,static_exp,3,4000
S_theta,0.652847069797575,0.6589034373440744,0.009928218126949577,-0.6100155606029392,0.6100155606029392,static_transform_control,static_exp,3,4000
gamma_R,0.243154864209137,0.25062941405735456,0.008230700113199032,-0.9081305047466259,0.9081305047466259,static_transform_control,static_exp,3,4000
PE,0.940707370171511,0.9491008226292871,0.002517162781387239,-3.3344893384886234,3.3344893384886234,static_transform_control,static_tanh,3,4000
