measure,obs,mu_null,sigma_null,Z,absZ,experiment,lambda,rep,N
gamma_R,0.13461512471154558,0.13729643546727865,0.003065115811082125,-0.8747828535674335,0.8747828535674335,nonlinear_ar1_sweep,0.0,6,4000
PE,0.9677345388598134,0.9659673642585234,0.001681696670362598,1.0508283880404112,1.0508283880404112,nonlinear_ar1_sweep,0.0,7,4000
S_theta,0.771716207568262,0.7701539594382052,0.00662541381918236,0.23579630988990563,0.23579630988990563,nonlinear_ar1_sweep,0.0,7,4000
gamma_R,0.13766749880547757,0.14090217987745038,0.0036100682867767062,-0.8960165888886635,0.8960165888886635,nonlinear_ar1_sweep,0.0,7,4000
PE,0.970997300439416,0.9692347066910739,0.0016688736977587156,1.0561576653219709,1.0561576653219709,nonlinear_ar1_sweep,0.0,8,4000
S_theta,0.7819516515375188,0.7824127127924266,0.0063078606429266505,-0.07309312633989,0.07309312633989,nonlinear_ar1_sweep,0.0,8,4000
gamma_R,0.12817843556662734,0.13069376096269986,0.0036462954469752467,-0.6898303861139633,0.6898303861139633,nonlinear_ar1_sweep,0.0,8,4000
PE,0.9722972221730869,0.9704240334989233,0.0018454562266213218,1.015027420939206,1.015027420939206,nonlinear_ar1_sweep,0.0,9,4000
S_theta,0.774207115664165,0.782627660282986,0.006479279322998478,-1.2996112991968014,1.2996112991968014,nonlinear_ar1_sweep,0.0,9,4000
gamma_R,0.12361924723266049,0.12992559742151255,0.003649074834309752,-1.7282052232959897,1.7282052232959897,nonlinear_ar1_sweep,0.0,9,4000
PE,0.9706289673919123,0.9734276584559826,0.0017221424769424578,-1.625121673462899,1.625121673462899,nonlinear_ar1_sweep,0.0,10,4000
S_theta,0.771883178491733,0.7865342139442294,0.006033131316411078,-2.4284297297894386,2.4284297297894386,nonlinear_ar1_sweep,0.0,10,4000
gamma_R,0.1224276235262659,0.12188492342287488,0.003412525945366375,0.15903178820601166,0.15903178820601166,nonlinear_ar1_sweep,0.0,10,4000
PE,0.9670712100637646,0.9639890626580332,0.002013468112511441,1.5307654422632007,1.5307654422632007,nonlinear_ar1_sweep,0.0,11,4000
S_theta,0.7576855555827451,0.7694371820418948,0.007339798223872758,-1.6010830408017847,1.6010830408017847,nonlinear_ar1_sweep,0.0,11,4000
gamma_R,0.13816467641098806,0.13796429254173526,0.004117294585906439,0.04866882003991748,0.04866882003991748,nonlinear_ar1_sweep,0.0,11,4000
PE,0.9712019622636091,0.9707265157908611,0.001839080737724068,0.2585239804840656,0.2585239804840656,nonlinear_ar1_sweep,0.0,12,4000
S_theta,0.7804705542460653,0.7827855296236125,0.007030693200696321,-0.32926701698744826,0.32926701698744826,nonlinear_ar1_sweep,0.0,12,4000
gamma_R,0.13300727163590276,0.12941091755991724,0.0034417404726180384,1.0449230860367198,1.0449230860367198,nonlinear_ar1_sweep,0.0,12,4000
PE,0.9675629637098068,0.9672330861184879,0.0018509146006045762,0.17822410132326533,0.17822410132326533,nonlinear_ar1_sweep,0.0,13,4000
S_theta,0.7629809156289893,0.7780819678703048,0.006951886391467045,-2.172223680158383,2.172223680158383,nonlinear_ar1_sweep,0.0,13,4000
gamma_R,0.1572963688690424,0.15535520282285886,0.0038232643889652236,0.5077247735694608,0.5077247735694608,nonlinear_ar1_sweep,0.0,13,4000
PE,0.9641750342531006,0.9640134520899304,0.001959084963783902,0.08247838463223306,0.08247838463223306,nonlinear_ar1_sweep,0.0,14,4000
S_theta,0.7731190514551528,0.767974544782586,0.006954918459391181,0.7396933123810007,0.7396933123810007,nonlinear_ar1_sweep,0.0,14,4000
gamma_R,0.14541867989576518,0.14466497043409568,0.003954424217238344,0.1905990405338627,0.1905990405338627,nonlinear_ar1_sweep,0.0,14,4000
PE,0.968392181028245,0.9672214808951568,0.0018972554992228682,0.6170492764773667,0.6170492764773667,nonlinear_ar1_sweep,0.0,15,4000
S_theta,0.7829481146561346,0.7764191323625695,0.006363647710958129,1.0259811023671517,1.0259811023671517,nonlinear_ar1_sweep,0.0,15,4000
gamma_R,0.13712634878790597,0.1405904437394091,0.0033087865333560566,-1.0469381800794333,1.0469381800794333,nonlinear_ar1_sweep,0.0,15,4000
PE,0.9709049468420512,0.9697914341889298,0.0018549970915105014,0.6002773040548054,0.6002773040548054,nonlinear_ar1_sweep,0.0,16,4000
