representacion,shuffle,m,mPE_null
alturas_MIDI,27,2,0.9416179496377419
alturas_MIDI,27,3,2.305933232002164
alturas_MIDI,27,4,3.84454061899083
alturas_MIDI,27,5,4.967325442507671
alturas_MIDI,27,6,5.4683999934277905
alturas_MIDI,27,7,5.575468760050558
alturas_MIDI,28,2,0.9682879859163065
alturas_MIDI,28,3,2.3145230731976305
alturas_MIDI,28,4,3.8058533136616073
alturas_MIDI,28,5,4.9285770160429045
alturas_MIDI,28,6,5.4374789296109896
alturas_MIDI,28,7,5.563170861296811
alturas_MIDI,29,2,0.982630404924507
alturas_MIDI,29,3,2.355145396601352
alturas_MIDI,29,4,3.8988216051485
alturas_MIDI,29,5,5.111835061940494
alturas_MIDI,29,6,5.500003027765683
alturas_MIDI,29,7,5.5702960198971265
alturas_MIDI,30,2,0.9471367455069004
alturas_MIDI,30,3,2.3023734132415212
alturas_MIDI,30,4,3.866270157348893
alturas_MIDI,30,5,5.054718065380911
alturas_MIDI,30,6,5.517408720059825
alturas_MIDI,30,7,5.580641500203991
alturas_MIDI,31,2,0.9646501931424458
alturas_MIDI,31,3,2.3042127330691935
alturas_MIDI,31,4,3.8105168106782608
alturas_MIDI,31,5,4.945179527382156
alturas_MIDI,31,6,5.451676271654741
alturas_MIDI,31,7,5.565123279743694
alturas_MIDI,32,2,0.9298253193056767
alturas_MIDI,32,3,2.2960698711418313
alturas_MIDI,32,4,3.800792926456212
alturas_MIDI,32,5,4.926798561069488
alturas_MIDI,32,6,5.4227003682236825
alturas_MIDI,32,7,5.559950539590261
alturas_MIDI,33,2,0.9726248053654829
alturas_MIDI,33,3,2.3377165630776404
alturas_MIDI,33,4,3.8784117669697546
alturas_MIDI,33,5,5.000600431205272
alturas_MIDI,33,6,5.426914579457527
alturas_MIDI,33,7,5.568343601450244
alturas_MIDI,34,2,0.9510527490094829
alturas_MIDI,34,3,2.352767332484884
alturas_MIDI,34,4,3.8930413246895443
alturas_MIDI,34,5,5.0256827870288925
alturas_MIDI,34,6,5.487750846107675
alturas_MIDI,34,7,5.5702960198971265
alturas_MIDI,35,2,0.9632551471097669
alturas_MIDI,35,3,2.346997159086692
alturas_MIDI,35,4,3.87443229063062
alturas_MIDI,35,5,5.067860689103948
alturas_MIDI,35,6,5.52577058094635
alturas_MIDI,35,7,5.585814240357424
alturas_MIDI,36,2,0.9353663792975548
alturas_MIDI,36,3,2.263132952704332
alturas_MIDI,36,4,3.7761843462803637
alturas_MIDI,36,5,4.939417885508369
alturas_MIDI,36,6,5.411711376430323
alturas_MIDI,36,7,5.547652640836513
alturas_MIDI,37,2,0.9599346978335506
