label,SBP
976.0000000000,0.8115841581
978.0000000000,0.8428471620
979.0000000000,0.8283489197
980.0000000000,0.8022439824
981.0000000000,0.7882608249
982.0000000000,0.8224832415
984.0000000000,0.7795117047
985.0000000000,0.7938816567
986.0000000000,0.8214902389
987.0000000000,0.8092124641
988.0000000000,0.8107679448
989.0000000000,0.5247018600
990.0000000000,0.8015097405
991.0000000000,0.8136496935
992.0000000000,0.7995780524
993.0000000000,0.7454561703
994.0000000000,0.6394772940
995.0000000000,0.8346872018
996.0000000000,0.8078042140
997.0000000000,0.8025049856
999.0000000000,0.8331770922
1001.0000000000,0.8067001292
1003.0000000000,0.8224594406
1004.0000000000,0.8300888608
1005.0000000000,0.8308431342
1006.0000000000,0.8072119306
1007.0000000000,0.8104847992
1008.0000000000,0.8385472404
1009.0000000000,0.7586853589
1010.0000000000,0.8367139210
1012.0000000000,0.7712579776
1013.0000000000,0.8140356348
1014.0000000000,0.7720700990
1015.0000000000,0.8186178914
1016.0000000000,0.7800701335
1017.0000000000,0.8272771723
1018.0000000000,0.7927303606
1019.0000000000,0.7899843097
1020.0000000000,0.8201543465
1021.0000000000,0.8314303232
1022.0000000000,0.8283508003
1023.0000000000,0.7737618581
1025.0000000000,0.8197026797
1026.0000000000,0.8274901253
1027.0000000000,0.8194436929
1029.0000000000,0.8133051675
1030.0000000000,0.8229664412
1032.0000000000,0.7968274423
1033.0000000000,0.8026688982
1034.0000000000,0.8089412989
1035.0000000000,0.8061528740
1036.0000000000,0.7683934429
1037.0000000000,0.7708920051
1038.0000000000,0.8399460020
1039.0000000000,0.8379471695
1040.0000000000,0.8240196533
1041.0000000000,0.8281010652
1042.0000000000,0.7731931286
1043.0000000000,0.8034594797
1045.0000000000,0.8224389835
1046.0000000000,0.8209062528
1047.0000000000,0.8214341834
1048.0000000000,0.8178439314
1049.0000000000,0.7379109344
1050.0000000000,0.8104251105
1052.0000000000,0.8310776534
1054.0000000000,0.8162664170
1055.0000000000,0.8051664067
1056.0000000000,0.8235339997
1057.0000000000,0.7808430437
1058.0000000000,0.7932394597
1059.0000000000,0.8334441932
1060.0000000000,0.7978788718
1062.0000000000,0.7330664276
1063.0000000000,0.8240464615
1064.0000000000,0.8049977708
1065.0000000000,0.8138799276
1066.0000000000,0.7781879698
1067.0000000000,0.8158214151
1068.0000000000,0.8126520462
1069.0000000000,0.8190019964
1071.0000000000,0.8314242174
1072.0000000000,0.8154577061
1073.0000000000,0.7861074382
1074.0000000000,0.7870369726
1075.0000000000,0.8319903433
1076.0000000000,0.8447563660
1077.0000000000,0.8205862182
1078.0000000000,0.8484938954
1079.0000000000,0.8082386272
1080.0000000000,0.6863773895
1081.0000000000,0.8050404681
1082.0000000000,0.8290148114
1083.0000000000,0.8177084007
1084.0000000000,0.8160471662
1085.0000000000,0.8335367913
1086.0000000000,0.8285360764
1087.0000000000,0.7975348282
1089.0000000000,0.8193112275
1090.0000000000,0.7889306143
1091.0000000000,0.7914371507
1092.0000000000,0.8204864451
1094.0000000000,0.8120398930
1096.0000000000,0.7945138295
1097.0000000000,0.8170625978
1099.0000000000,0.8259083067
1100.0000000000,0.7747594254
1102.0000000000,0.8140889029
1103.0000000000,0.8158748479
1104.0000000000,0.8242337353
1105.0000000000,0.8138450769
1107.0000000000,0.7919420216
1108.0000000000,0.8218776667
1109.0000000000,0.8318716134
1110.0000000000,0.8043378204
1111.0000000000,0.7945984800
1113.0000000000,0.8470275524
1115.0000000000,0.8194608916
1116.0000000000,0.8214012891
1121.0000000000,0.8306846457
